Epoch,Train Loss,Train Acc,Train F1,Val Loss,Val Acc,Val F1
1,0.33595875826529337,0.14372623574144486,0.1322341121064106,0.26250884138392383,0.35765124555160144,0.2573168937669905
2,0.2698474720407281,0.34600760456273766,0.2903477027782643,0.2088551628817655,0.5088967971530249,0.40606494035258633
3,0.24210138342663148,0.41951837769328265,0.3898265204948551,0.18367257677814078,0.5587188612099644,0.5101689478538904
4,0.21385732840033286,0.47782002534854245,0.47504236982463566,0.16325965592988975,0.6192170818505338,0.6326717368565881
5,0.19113494940441791,0.5427122940430925,0.5537420507027644,0.176945554718932,0.5845195729537367,0.6119359546558422
6,0.1714519871985719,0.596958174904943,0.6255545299839658,0.15263833038117802,0.645017793594306,0.6557573995031262
7,0.16766582452055168,0.6048162230671736,0.6182117794933267,0.1469837923590558,0.6832740213523132,0.6669541648099522
8,0.1650247879386733,0.6070975918884665,0.6327106668182974,0.14450330951904009,0.6823843416370107,0.6771240872384165
9,0.15981211738987414,0.6316856780735107,0.6459375020565473,0.14692161155009503,0.6823843416370107,0.6793128898332423
10,0.15771906011810538,0.6202788339670469,0.64804934408527,0.1445664624083668,0.6921708185053381,0.6856322607206615
