Epoch,Train Loss,Val Loss,Train Acc,Val Acc
1,0.3380175637045409,0.2622851213420413,0.8365652724968314,0.8865658362989324
2,0.27178814413125996,0.21424559026532325,0.8201520912547529,0.9045818505338078
3,0.23954860365590064,0.1856644329054818,0.8130544993662865,0.9163701067615658
4,0.21664426106253776,0.1873527048951101,0.8131178707224335,0.917482206405694
5,0.1956463685861233,0.15537146801042812,0.8067807351077313,0.9337188612099644
6,0.17716463909247604,0.15054970850597973,0.8103295310519645,0.9408362989323843
7,0.17233162641661146,0.14989977520873962,0.8115335868187579,0.9375
8,0.16756165423925887,0.14281116990253223,0.8129911280101394,0.9399466192170819
9,0.1636611426167998,0.1473308943967696,0.811723700887199,0.9346085409252669
10,0.1583604812999506,0.1489280193474051,0.8131812420785804,0.9343861209964412
Test,0.15862583286728557,0.9321489726027398
